P_SWITCH_YEAR,P_PFPR,P_TACT,FREQ_580Y_2032,PFPR_2032,TFR_10Y,Run
2026,0.001,baseline,0.489749,0.0001865,0.135441166,run10
2026,0.001,baseline,0.441989,0.000223,0.080270493,run100
2026,0.001,baseline,0.678571,0.0003015,0.111992805,run11
2026,0.001,baseline,0.012987,0.000065,0.075342258,run12
2026,0.001,baseline,0.367273,0.000114,0.092787428,run13
2026,0.001,baseline,0.0353982,0.000052,0.082669305,run14
2026,0.001,baseline,0.910723,0.0025555,0.289657261,run15
2026,0.001,baseline,0.442211,0.000082,0.079435042,run16
2026,0.001,baseline,0.852614,0.001008,0.198248391,run17
2026,0.001,baseline,0.333887,0.000254,0.121581851,run18
2026,0.001,baseline,0.4,0.0000525,0.090980347,run19
2026,0.001,baseline,0.251356,0.000237,0.113976237,run2
2026,0.001,baseline,0.766458,0.0008125,0.237632344,run20
2026,0.001,baseline,0.0165746,0.0000855,0.083014971,run21
2026,0.001,baseline,0.666062,0.00048,0.188591868,run22
2026,0.001,baseline,0.19398,0.000132,0.073830807,run23
2026,0.001,baseline,0.0329218,0.0001045,0.082836424,run24
2026,0.001,baseline,0.111111,0.000012,0.078759885,run25
2026,0.001,baseline,0.44,0.0000795,0.088338084,run26
2026,0.001,baseline,0.00881057,0.0000955,0.105592292,run27
2026,0.001,baseline,0.102689,0.000177,0.085365151,run28
2026,0.001,baseline,0.368243,0.0001245,0.086824765,run29
2026,0.001,baseline,0.368201,0.0000945,0.076397095,run3
2026,0.001,baseline,0.931653,0.001016,0.265352072,run30
2026,0.001,baseline,0.0216216,0.000163,0.109499566,run31
2026,0.001,baseline,0.169184,0.000146,0.097137915,run32
2026,0.001,baseline,0.497934,0.0002195,0.11923538,run33
2026,0.001,baseline,0.384615,0.000029,0.068551424,run34
2026,0.001,baseline,0.341176,0.000037,0.085853115,run35
2026,0.001,baseline,0.257669,0.000068,0.080020637,run36
2026,0.001,baseline,0.712471,0.0003755,0.183291519,run37
2026,0.001,baseline,0.444915,0.000111,0.079677466,run38
2026,0.001,baseline,0.496,0.000057,0.100414631,run39
2026,0.001,baseline,0.643094,0.0003705,0.142112451,run4
2026,0.001,baseline,0.0791139,0.000127,0.082929768,run40
2026,0.001,baseline,0.271405,0.0002645,0.11003741,run41
2026,0.001,baseline,0.185915,0.0001475,0.092021437,run42
2026,0.001,baseline,0.04,0.0001695,0.101357626,run43
2026,0.001,baseline,0.378571,0.0000595,0.073816125,run44
2026,0.001,baseline,0.312775,0.0000975,0.081063326,run45
2026,0.001,baseline,0.123596,0.0000395,0.074335145,run46
2026,0.001,baseline,0.15404,0.0001605,0.083101859,run47
2026,0.001,baseline,0.388889,0.0000595,0.088190658,run48
2026,0.001,baseline,0.415966,0.000108,0.06936809,run49
2026,0.001,baseline,0.322581,0.0001055,0.092757098,run5
2026,0.001,baseline,0.462428,0.0001475,0.074683946,run50
2026,0.001,baseline,0.0395257,0.0001055,0.126829076,run51
2026,0.001,baseline,0.0917431,0.000052,0.076575753,run52
2026,0.001,baseline,0.604,0.0001165,0.112199019,run53
