MONTH	P_TC	P_PFPR	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TF_99	TF_95	TF_75	TF_50	TF_25	TF_05	TF_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01	ELIMINATION
-10	0.75	1	1	0.055335318	0.036325955	0.023503661	0.01224464	0.006506565	0.002785546	0.001388927	22.20441399	21.79998995	21.28361995	20.94386989	20.59428447	20.17485034	20.02545232	1.3289243	1.3204335	1.29323	1.276395	1.24833	1.225853	1.2169088	0
-10	0.75	1	2	0.058782226	0.041340545	0.022567619	0.01411855	0.008695293	0.003218332	0.001450822	21.95191655	21.6850509	21.31419864	20.92028155	20.49367966	20.09616402	19.8869513	1.3625007	1.3476805	1.3005525	1.28514	1.2668175	1.231479	1.2249036	0
-10	0.75	10	0	0.026869487	0.017983414	0.013798413	0.010848919	0.007887914	0.005492737	0.003790144	20.1709781	20.00354481	19.803426	19.70216207	19.58332831	19.36483994	19.15176895	10.42174	10.415085	10.3696	10.3463	10.3158	10.272125	10.253883	0
-10	0.75	10	1	0.021061602	0.018253863	0.013333308	0.010834155	0.008448335	0.006215664	0.004000481	20.02138904	19.976186	19.85985125	19.69159455	19.52718809	19.34696379	19.22990738	10.440039	10.42516	10.375325	10.3432	10.31245	10.277385	10.262281	0
-10	0.75	10	2	0.019419764	0.017739936	0.013419688	0.009807524	0.007893055	0.005926736	0.004345996	20.25647037	20.06077047	19.80103739	19.66172523	19.54496495	19.40908959	19.23680734	10.432074	10.407305	10.36645	10.33395	10.306175	10.26711	10.23657	0
-9	0.25	0.1	0	0.040358075	0.012964752	0.000191721	0	0	0	0	28.26287589	25.51669387	21.70302013	18.92462535	17.41943592	15.85524791	13.69781405	0.16475603	0.1565341	0.13538825	0.120203	0.106905	0.0853594	0.077680872	0
-9	0.25	0.1	1	0.036313779	0.01308656	0.000427796	0	0	0	0	26.43908046	25.12922951	21.81818182	20.08839714	18.14375469	16.02090739	14.71754345	0.1690877	0.1641846	0.137066	0.121929	0.107788	0.08807275	0.081480581	1
-9	0.25	0.1	2	0.038074613	0.011939882	0.000382038	0	0	0	0	28.06704441	26.11275611	22.07317508	20.34582346	18.2690739	15.29694045	14.87525479	0.17647	0.1614228	0.137048	0.1226435	0.10942225	0.09126882	0.077902101	1
-9	0.25	1	0	0.01103164	0.009146233	0.00153696	0.000462231	0.000122411	4.05E-05	1.94E-05	21.9435785	21.33052869	20.46109096	19.73529242	18.8659753	18.10174299	17.57676384	1.2406371	1.222488	1.1873325	1.164535	1.1444525	1.119082	1.1017495	0
-9	0.25	1	1	0.014047018	0.007763974	0.003541064	0.001159588	0.000226439	5.29E-05	1.89E-05	22.26336149	21.67328551	20.33991753	19.60365706	18.76457412	17.84279291	17.57235029	1.249867	1.2254045	1.19752	1.17741	1.1550575	1.112229	1.0943511	0
-9	0.25	1	2	0.020514104	0.009980111	0.002238671	0.000720434	0.000167749	5.61E-05	1.90E-05	22.22931985	21.16366935	20.35531292	19.51817135	18.92645155	18.07788141	17.34376379	1.2327109	1.223366	1.1857225	1.16922	1.14634	1.121758	1.113404	0
-9	0.25	10	0	0.004906781	0.003959042	0.002588417	0.001510023	0.000952251	0.000425902	0.000353838	19.2840545	19.01101814	18.64600861	18.43633407	18.2576165	17.89862436	17.81817055	10.746079	10.688275	10.63985	10.6072	10.574825	10.537205	10.505075	0
-9	0.25	10	1	0.005242257	0.004131768	0.002547917	0.00157839	0.000935894	0.000435842	0.000314957	19.07409342	19.00228676	18.68040953	18.47126479	18.23128786	17.77381209	17.67606967	10.749105	10.71534	10.639775	10.6054	10.567925	10.52576	10.492468	0
-9	0.25	10	2	0.006095598	0.003906934	0.00228926	0.001542728	0.001078316	0.00049179	0.000369162	19.07550642	18.97988238	18.71294886	18.4525145	18.20481018	17.94083451	17.84368447	10.709148	10.66806	10.61855	10.5955	10.56135	10.50571	10.484747	0
-9	0.5	0.1	0	0.054226282	0.038637758	0.005799265	0.000626012	0.00011232	0	0	25.67698344	24.02400326	21.88135702	20.534847	19.51893276	18.09787173	17.33704889	0.1910574	0.18188095	0.1560555	0.1437165	0.13055775	0.1169514	0.11095596	65
-9	0.5	0.1	1	0.053488847	0.031741874	0.003793743	0.000418788	5.18E-05	0	0	23.94503215	23.45347886	22.09310584	21.07757839	19.52423134	17.88029218	16.59305483	0.18139423	0.17289265	0.15468525	0.143583	0.130116	0.1126721	0.10498933	94
-9	0.5	0.1	2	0.068645648	0.036973909	0.003760798	0.000329512	0	0	0	25.76879981	24.57955836	22.92506319	21.26255572	20.02347418	18.14334741	17.11848942	0.18770546	0.17744715	0.15743425	0.1450945	0.13366375	0.12099095	0.10121552	95
-9	0.5	1	0	0.020841385	0.018526877	0.009590384	0.004955925	0.001995105	0.000439595	0.000114989	22.35148478	21.45823554	20.93360417	20.54296316	20.21662579	19.35585485	18.76620462	1.3993539	1.385734	1.35989	1.33856	1.3146175	1.2883055	1.2739563	0
-9	0.5	1	1	0.018339858	0.015219877	0.006681867	0.003463802	0.001225234	0.000638513	0.000461861	21.88990472	21.57133331	21.01130166	20.47693458	20.16461514	19.59726879	19.3938103	1.4216498	1.4004265	1.3669475	1.346315	1.315155	1.279663	1.2705068	0
-9	0.5	1	2	0.027321621	0.01980503	0.00678647	0.003238312	0.001524204	0.000519616	0.000249986	21.85646179	21.47162002	20.97011741	20.68909845	20.22320381	19.41789522	19.03133105	1.4096926	1.3879325	1.3625275	1.336635	1.3061025	1.2779835	1.2591527	0
-9	0.5	10	0	0.010878764	0.00878011	0.005726065	0.004071031	0.003143555	0.002197199	0.001473807	19.95817963	19.75941462	19.48779323	19.33274	19.1780897	19.00979842	18.90618874	10.796704	10.764685	10.719825	10.6972	10.667625	10.63164	10.61718	0
-9	0.5	10	1	0.010786454	0.007920593	0.006042751	0.004291182	0.003080665	0.001723264	0.001269252	19.85008716	19.75119164	19.50591253	19.35635385	19.23471291	19.02096468	18.9377667	10.804825	10.782645	10.729975	10.69765	10.661225	10.62347	10.602777	0
-9	0.5	10	2	0.012257462	0.009609625	0.006054843	0.004642441	0.003513258	0.002193105	0.001151075	19.81372582	19.67543189	19.43419166	19.30908611	19.14624873	18.93749014	18.82512886	10.804274	10.776675	10.71855	10.6922	10.66545	10.60108	10.592457	0
-9	0.75	0.1	0	0.105805209	0.074191611	0.0238223	0.006069695	0.000749559	0	0	25.12059369	24.29615352	22.754914	21.61669685	20.64355139	18.92005552	17.98668041	0.1248293	0.1220586	0.10898375	0.09942095	0.0899588	0.078381265	0.074592565	99
